gx,gy,gz,ax,ay,az,label
-61068704,8778626,-3816794,-13500976,24169922,8979492,0
0,10,-10687023,-13476562,1953125,8977051,0
55419844,-5412214,-47099236,-14501953,24169922,91748052,0
-129771,2480916,-221374052,-13208008,1586914,9033203,0
343511468,8244275,8396947,-13061524,214843736,9033203,0
-114503816,29007636,221374052,-12475586,1977539,89990232,0
14656489,15801526,648855,-13330078,17822266,91064456,0
-2923664,18931298,-16717557,-13183594,16845704,9399414,0
16335878,-343511468,-13282443,-14794922,214843736,88623048,0
99236648,-6793893,221374052,-12670898,24902344,8952637,0
473282468,28854962,14503818,-13061524,24902344,8845215,0
-17557252,198473292,-198473292,-1352539,1977539,8984375,0
-183206116,10534351,-30534352,-13500976,1977539,8918457,0
53435112,67175576,15267176,-12988281,16845704,9001465,0
-122137408,70229008,-15267176,-1262207,234375,90356448,0
-114503816,10839695,14503818,-12573242,22460938,9020996,0
-206106868,90839692,-244274816,-12548828,234375,89624024,0
91603052,78625952,-14503818,-12670898,25878906,89990232,0
-17557252,9465649,-6870229,-13354492,26611328,9030762,0
10687023,7480916,-91603052,-1315918,31982422,904785136,0
-8091603,11145039,-40458016,-14013672,22216796,91015624,0
1908397,-129771,-91603052,-12597656,214843736,8979492,0
-396946584,10305344,-32824428,-13647461,2734375,90600584,0
-236641232,4961832,17557252,-12548828,253906252,89697268,0
-16793894,221374052,-15267176,-1315918,24169922,8959961,0
-122137408,55725192,-129771,-13110352,17333984,9055176,0
-61068704,-5954198,6870229,-1315918,234375,8972168,0
-10480916,-59770992,-15572519,-10961914,31738282,94799804,0
3816794,16793894,8396947,-118896488,23925782,8894043,0
-1908397,519084,-259542,-12768554,25878906,9013672,0
-13740458,10,-7633588,-11987305,20751954,89746092,0
6870229,77099232,198473292,-13085938,2734375,9008789,0
-16030534,78625952,-61068704,-119628904,25878906,891601536,0
-114503816,8396947,-7633588,-1274414,20507812,90649416,0
-3816794,10,-61068704,-1262207,2758789,90722652,0
-61068704,10610686,-45801528,-125,2758789,8930664,0
99236648,5038168,15267176,-125,214843736,89941408,0
-129771,40458016,-198473292,-13305664,28320312,9020996,0
-3816794,83206104,-99236648,-12451172,21728516,90234376,0
-26717558,9236641,-22900764,-12915039,24169922,9042969,0
129771,519084,-206106868,-123046872,2319336,8991699,0
-53435112,396946584,-412213736,-13061524,234375,90112308,0
-15267176,8167939,-122137408,-12915039,2709961,90625,0
10687023,78625952,61068704,-12817383,28076172,8977051,0
-26717558,412213736,-61068704,-1262207,20263672,90844728,0
-15267176,9465649,-91603052,-12866211,234375,8967285,0
-15267176,9236641,-29007636,-122802732,22705078,891601536,0
-45801528,419847336,-21374046,-12353516,22216796,9038086,0
-8396947,7633588,-3129771,-125,234375,8984375,0
15267176,1038168,99236648,-13452148,24658204,900634736,0
22900764,5114504,122137408,-12524414,22216796,89501952,0
-15267176,8854962,-129771,-13085938,16357422,89697268,0
-129771,9389313,-8396947,-12182617,26123046,9030762,0
30534352,90076332,-114503816,-12036133,2709961,89501952,0
129771,58778624,-3816794,-12792969,16601562,8947754,0
-14503818,5038168,-7633588,-13208008,25878906,90405272,0
-14503818,8015267,-45801528,-125,214843736,9008789,0
0,8778626,-3816794,-12231445,29785156,8984375,0
-206106868,7480916,-6870229,-1237793,28564454,90283204,0
-16030534,488549632,-15267176,-123046872,29541016,8967285,0
22900764,8549618,-8396947,-12988281,2368164,8952637,0
-10687023,473282468,7633588,-119384768,2368164,9020996,0
-17557252,83206104,114503816,-1274414,24169922,894531264,0
-15267176,9160305,16030534,-13256836,20507812,9008789,0
-6870229,9236641,8396947,-11767578,24169922,9067383,0
-1221374,-1740458,-11832061,-12915039,20507812,89208984,0
-5954198,-4351145,458015268,-12084961,29052734,8947754,0
21450382,15725191,19541985,-13574219,29541016,89746092,0
0,13206106,-229007632,-12573242,23925782,89697268,0
4274809,-259542,-129771,-13793946,10986328,9067383,0
-10763359,-5954198,-28244276,-12792969,25878906,9152832,0
-16793894,8778626,61068704,-12719726,17089844,8918457,0
13740458,-9541985,-8091603,-15136719,-10498047,92871096,0
